streamer,title,url,views,duration,created_at
Raffale_,rp mendient,https://www.twitch.tv/raffale_/clip/FairFriendlyStingrayPipeHype-FPh6xqbGMxsbgEmb,19,30,2025-05-30T18:55:08Z
xonsah,Foreshadowing du pointage,https://www.twitch.tv/xonsah/clip/CrispyUninterestedNigiriArsonNoSexy-JNRFDaZI5isx_9_d,17,17.5,2025-05-30T21:28:22Z
Zafeel,casino,https://www.twitch.tv/zafeel/clip/JazzyArbitraryRabbitDogFace-vrOybRA1e3HTMNCj,17,23.4,2025-05-30T14:43:04Z
Zafeel,Super transformation,https://www.twitch.tv/zafeel/clip/AstutePoliteAlmondArsonNoSexy-pZ0utD360EBhH5qI,17,30,2025-05-30T19:13:27Z
Zafeel,ya plein de chiens,https://www.twitch.tv/zafeel/clip/SmoggyPlacidHamsterGingerPower-1b6-0OlIOqG8bTSB,17,23.5,2025-05-30T19:20:20Z
Michou,av,https://www.twitch.tv/michou/clip/SourHelpfulSwallowCclamChamp-qDRQaHsQhLc4RPPt,17,60,2025-05-30T22:16:11Z
Raffale_,rp irl y a quoi,https://www.twitch.tv/raffale_/clip/ThoughtfulBlazingArmadillo4Head-8aubJYeybokQj7M5,17,30,2025-05-30T19:29:21Z
Posuu,Les modos sont folles askip (on va faire grève nonméoh),https://www.twitch.tv/posuu/clip/MuddyShyToothDBstyle-NyrzGjRUYoxI8XfK,17,9.8,2025-05-30T21:26:26Z
Zafeel,le fou du casino,https://www.twitch.tv/zafeel/clip/PlausibleGracefulPuppyPunchTrees-aQgNI56-fuxTH_Yy,16,32.8,2025-05-30T19:08:57Z
xonsah,Crazy National,https://www.twitch.tv/xonsah/clip/FriendlyFurtiveClipsdadRitzMitz-11xFDcc13nX3K7_H,15,60,2025-05-30T21:58:48Z
Michou,les gens vannent michou,https://www.twitch.tv/michou/clip/ObedientBrainyWalletBCWarrior-yi8wuuehpOYSAdtR,15,30,2025-05-30T19:30:52Z
Michou,j'ai fait 2h de sieste je suis en forme !! (Crazy Town RP),https://www.twitch.tv/michou/clip/ReliableBombasticHorseANELE-76rU7hSA3NheDR_q,15,25.8,2025-05-30T19:04:00Z
Raffale_,qu'est ce que je regarde ? xDD,https://www.twitch.tv/raffale_/clip/HandsomeColdbloodedChickenAMPTropPunch-zTYW-LDf0nvAEMFc,15,37.1,2025-05-30T19:22:29Z
