streamer,title,url,views,duration,created_at,category
RASKA_yt,ras krispy,https://www.twitch.tv/raska_yt/clip/LivelyTalentedWombatNinjaGrumpy-oPq9qD5x-4EvA77Y,3,35.1,2025-05-30T12:30:41Z,Minecraft
RASKA_yt,ouverture restau,https://www.twitch.tv/raska_yt/clip/AliveDaintyCiderPMSTwin-051wDVUhdZdwahTQ,3,46.7,2025-05-30T12:37:18Z,Minecraft
RASKA_yt,on a retrouver le voleur omg ???,https://www.twitch.tv/raska_yt/clip/VainAltruisticSowCeilingCat-pweZhmZ2zF7w5Bcb,3,60,2025-05-30T14:20:13Z,Minecraft
RASKA_yt,..,https://www.twitch.tv/raska_yt/clip/UnsightlyRudeCrabsCmonBruh-hiJPTO8zr-fMOiZv,3,48.5,2025-05-30T16:08:04Z,Minecraft
Kalevis_,pan mais pas trop quand même,https://www.twitch.tv/kalevis_/clip/CleverModernNewtPastaThat-HJH6UJtU6ZfZTT3v,3,30,2025-05-30T13:35:51Z,Minecraft
byilhann,byilhan lache un gros pet,https://www.twitch.tv/byilhann/clip/BoredFilthyOwlDogFace-tvs0YY5im2-BFyft,1,25.3,2025-05-29T22:28:29Z,Just Chatting
Kaatsup,0,https://www.twitch.tv/kaatsup/clip/BlatantAmusedGorillaPlanking-JrDZFuTRQx2oXUxe,1,60,2025-05-30T19:10:08Z,Minecraft
Kaatsup,oups,https://www.twitch.tv/kaatsup/clip/TalentedResilientFloofTwitchRPG-7rfzvm6P0rsGMFgB,1,30,2025-05-30T19:11:24Z,Minecraft
Kaatsup,le contexte,https://www.twitch.tv/kaatsup/clip/VictoriousSoftHawkHotPokket-pScw7n9jE3pSU3Vc,1,32.3,2025-05-30T19:52:18Z,Minecraft
Kaatsup,kaatsup l'appât,https://www.twitch.tv/kaatsup/clip/WimpyStormyNoodleFailFish-Huk5X42YA-KEjG8U,1,47.3,2025-05-30T19:06:56Z,Minecraft
Kaatsup,raid de NRJ officiel,https://www.twitch.tv/kaatsup/clip/SeductiveHungrySardineDeIlluminati-b17IXWl0MnznUSgk,1,60,2025-05-30T19:06:53Z,Minecraft
Kaatsup,...,https://www.twitch.tv/kaatsup/clip/SilkySpoopyMangetoutChocolateRain-c9wVurOYW2OJaMy8,1,56.8,2025-05-30T17:45:54Z,Minecraft
Kaatsup,cunfou,https://www.twitch.tv/kaatsup/clip/GrotesqueHeadstrongAlbatrossPanicVis-WDRb8bRfs92vhJYU,1,60,2025-05-30T19:01:46Z,Minecraft
Kaatsup,pour tiktok,https://www.twitch.tv/kaatsup/clip/BashfulJollyParrotJonCarnage-gXI9PVBfIXgNcyYI,1,58.8,2025-05-30T17:36:01Z,Minecraft
Kaatsup,tiktok,https://www.twitch.tv/kaatsup/clip/BombasticSarcasticNikudonEleGiggle-FQFrddZnNUCMRqiu,1,54.1,2025-05-30T17:41:05Z,Minecraft
Kaatsup,katsupp a rep a mon chat,https://www.twitch.tv/kaatsup/clip/ObservantJazzyKuduTakeNRG-e46F_Sk3MaOwTNdZ,1,30,2025-05-30T17:09:34Z,Minecraft
Kaatsup,elel est riche,https://www.twitch.tv/kaatsup/clip/SuaveResoluteButterflyMau5--ruWe-7mBp2-Df0R,1,18.6,2025-05-30T18:53:11Z,Minecraft
Kaatsup,kali prime,https://www.twitch.tv/kaatsup/clip/SoftPowerfulGrasshopperPRChase-KGhckRraw4qnKlAX,1,30,2025-05-30T18:40:35Z,Minecraft
Kaatsup,le crie de fou,https://www.twitch.tv/kaatsup/clip/AthleticCorrectHabaneroDatSheffy-268Tvt0D9ZkGnKqN,1,28,2025-05-30T16:47:34Z,Minecraft
Kaatsup,raska le voleur ?,https://www.twitch.tv/kaatsup/clip/IronicOptimisticRavenCclamChamp-5EwQByPl0hM4zdH_,1,60,2025-05-30T15:10:41Z,Minecraft
Zafeel,crazy town,https://www.twitch.tv/zafeel/clip/OriginalFrozenGullOhMyDog-z00LdMrtE6gkDClq,1,60,2025-05-30T20:23:38Z,Minecraft
Zafeel,TOUT CA,https://www.twitch.tv/zafeel/clip/TriumphantColdbloodedChowderDBstyle-C6MsPK464sgVJ88p,1,32.6,2025-05-30T20:25:35Z,Minecraft
Zafeel,trop mignon trop mignon,https://www.twitch.tv/zafeel/clip/AmazonianFantasticHornetPeanutButterJellyTime-rke-gI7381E2znzv,1,21.5,2025-05-30T18:18:50Z,Minecraft
Zafeel,JE ME FAIS UN BOUC MOUSTACHE PUIS CRAZYTOWN ‼️ !ct,https://www.twitch.tv/zafeel/clip/FilthyHelplessChipmunkRickroll-nUmaxVa_uZtjvj4y,1,10,2025-05-30T17:22:07Z,Just Chatting
Michou,mdr,https://www.twitch.tv/michou/clip/ColdbloodedAdorableElephantFreakinStinkin-N6NKwpaG3oQSTgNs,1,60,2025-05-30T19:14:03Z,Minecraft
Michou,j'ai fait 2h de sieste je suis en forme !! (Crazy Town RP),https://www.twitch.tv/michou/clip/ZanyFreezingArugulaBlargNaut-gX7IERh1sPNoS9Ln,1,29.7,2025-05-30T19:50:45Z,Minecraft
Michou,michou casse son micro et est énervé contre misterbeast,https://www.twitch.tv/michou/clip/CreativeBrightBubbleteaChocolateRain--x0ZdoSqLnuDLGIH,1,28.1,2025-05-30T20:25:40Z,Minecraft
Michou,Michou qui ne c est pul.utise son tel,https://www.twitch.tv/michou/clip/SpookyGorgeousCurryWow-VR-krzM1bYQWBumO,1,30,2025-05-30T20:08:33Z,Minecraft
Nico_la,nicoo,https://www.twitch.tv/nico_la/clip/FunnyProudBorkNerfBlueBlaster-Eui4qmsOG8cnorE_,1,11.2,2025-05-29T20:43:46Z,IRL
Nico_la,🫵🏻,https://www.twitch.tv/nico_la/clip/DreamyObliviousClintTBTacoLeft-fVxQJ_5kGgUfYBxU,1,17.3,2025-05-29T20:40:49Z,IRL
Nico_la,moussier sufoc,https://www.twitch.tv/nico_la/clip/AttractiveGiftedCarabeefOpieOP-IDtX2_oHTp8mjJnb,1,30,2025-05-29T22:19:09Z,Minecraft
RASKA_yt,..,https://www.twitch.tv/raska_yt/clip/PlacidCoyHamsterVoHiYo-QK2Y6k9pXNivur8N,1,50.6,2025-05-30T12:39:48Z,Minecraft
RASKA_yt,musée,https://www.twitch.tv/raska_yt/clip/RamshackleResilientSangVoHiYo-7g-ki2GVydZoc-yK,1,41.1,2025-05-30T15:33:46Z,Minecraft
RASKA_yt,qui est le voleur ?,https://www.twitch.tv/raska_yt/clip/StupidComfortableSrirachaFrankerZ-Hukj2Qk_ADo8oI8L,1,60,2025-05-30T15:37:56Z,Minecraft
Posuu,Petite crise émotionnelle,https://www.twitch.tv/posuu/clip/PlausibleViscousAntelopeFUNgineer-nYl76clQ6pzYiZh0,1,26.8,2025-05-30T19:06:16Z,Minecraft
Posuu,le neuille se transforme,https://www.twitch.tv/posuu/clip/CrazyFuriousDotterelTwitchRPG-sepcCNdKIMbVEGAI,1,44,2025-05-30T19:15:30Z,Minecraft
Posuu,ghghyky,https://www.twitch.tv/posuu/clip/AliveIcyMarrowShadyLulu-xmGsokbM9oJv3x7b,1,59.4,2025-05-30T19:22:51Z,Minecraft
Posuu,Il a du mal votre pote...,https://www.twitch.tv/posuu/clip/PiliableHotCakeYouWHY-MdCdTtm6Nsk2xzWh,1,26.6,2025-05-30T19:01:13Z,Minecraft
